因子代码,曾用名,开始时间,结束时间,研发状态,因子说明,数据类型,指数及指数列名,分钟指数及指数列名,选股指数,衍生因子,更新方式,是否盘口因子,因子平滑方式,备注,因子数据分布特征,1日rankIC,5日rankIC,20日rankIC,,,,
hf_qyzs_001[5],hf_qyzs_001[5],2019-05-20,2019-07-20,入库,W切割理想反转,date_day,None,None,None,否,增量,否,None,QY6007[20],,,-0.048891768,-0.068297907,,,,
hf_qyzs_001[10],hf_qyzs_001[10],2019-05-20,2019-07-20,入库,W切割,date_day,None,None,None,否,增量,否,None,QY6007[20],,,-0.055168214,-0.075098041,,,,
hf_qyzs_001[20],hf_qyzs_001[20],2019-05-20,2019-07-20,入库,W切割,date_day,None,None,None,否,增量,否,None,QY6007[20],,-0.029128399,-0.046175282,-0.064250019,,,,
hf_qyzs_001[40],hf_qyzs_001[40],2019-05-20,2019-07-20,入库,W切割,date_day,None,None,None,否,增量,否,None,QY6007[20],,,-0.054552017,-0.079171914,,,,
hf_qyzs_001[60],hf_qyzs_001[60],2019-05-20,2019-07-20,入库,W切割,date_day,None,None,None,否,增量,否,None,QY6007[20],,,-0.051327874,-0.077639718,,,,
hf_qyzs_001[120],hf_qyzs_001[120],2019-05-20,2019-07-20,入库,W切割,date_day,None,None,None,否,增量,否,None,QY6007[20],,,-0.046495983,-0.070378687,,,,
hf_qyzs_002[1],hf_qyzs_002[5],2019-05-20,2020-08-18,入库,开盘半小时换手率的N日均值,code_min,None,None,None,否,增量,否,None,日内微观结构,在0到10000之间,,-0.065229411,-0.094440563,,,,
hf_qyzs_002[10],hf_qyzs_002[10],2019-05-20,2020-08-18,测试,开盘半小时换手率的N日均值,code_min,None,None,None,否,增量,否,None,日内微观结构,,,,,,,,
hf_qyzs_002[20],hf_qyzs_002[20],2019-05-20,2020-08-18,测试,开盘半小时换手率的N日均值,code_min,None,None,None,否,增量,否,None,日内微观结构,,,,,,,,
hf_qyzs_003[1],hf_qyzs_003[5],2019-05-20,2020-08-18,入库,开盘半小时量比,code_min,None,None,None,否,增量,否,None,量比取过去N日均值,,,-0.004405987,-0.000224328,,,,
hf_qyzs_003[10],hf_qyzs_003[10],2019-05-20,2020-08-18,测试,开盘半小时量比,code_min,None,None,None,否,增量,否,None,量比取过去N日均值,,,,,,,,
hf_qyzs_003[20],hf_qyzs_003[20],2019-05-20,2020-08-18,测试,开盘半小时量比,code_min,None,None,None,否,增量,否,None,量比取过去N日均值,,,,,,,,
