         29650667 function calls (29094292 primitive calls) in 19.868 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2012/1    0.037    0.000   19.869   19.869 {built-in method builtins.exec}
        1    0.000    0.000   19.869   19.869 spot_goods_factor.py:3(<module>)
        1    0.012    0.012   17.174   17.174 base_factor.py:156(caculate_by_date)
    287/1    0.003    0.000   12.185   12.185 aop.py:17(fun)
        1    2.059    2.059   12.183   12.183 base_factor.py:177(get_stock_tick_data)
15273/5663    0.012    0.000    5.340    0.001 _decorators.py:308(wrapper)
        1    0.014    0.014    4.975    4.975 spot_goods_factor.py:275(execute_caculation)
        1    0.002    0.002    4.857    4.857 groupby.py:1514(apply)
        1    0.001    0.001    4.847    4.847 groupby.py:1573(_python_apply_general)
        1    0.011    0.011    4.826    4.826 ops.py:822(apply)
     4805    0.002    0.000    4.642    0.001 spot_goods_factor.py:286(<lambda>)
     4805    0.022    0.000    4.641    0.001 spot_goods_factor.py:307(get_rise_ratio)
108872/95466    3.800    0.000    4.155    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      570    0.002    0.000    4.010    0.007 concat.py:147(concat)
    28803    0.013    0.000    3.756    0.000 <__array_function__ internals>:177(concatenate)
      570    0.008    0.000    3.707    0.007 concat.py:566(get_result)
      570    0.018    0.000    3.679    0.006 concat.py:176(concatenate_managers)
      285    0.001    0.000    3.160    0.011 base_factor.py:267(get_stock_data)
      285    0.019    0.000    3.159    0.011 access.py:39(access)
     9610    0.039    0.000    2.807    0.000 frame.py:10645(count)
      285    0.003    0.000    2.778    0.010 localio.py:47(read_decompress)
150744/67011    0.245    0.000    2.740    0.000 {method 'read' of '_io.BufferedReader' objects}
      285    0.018    0.000    2.094    0.007 spot_goods_factor.py:292(enrich_stock_data)
      114    0.002    0.000    2.060    0.018 __init__.py:1(<module>)
        1    0.000    0.000    1.611    1.611 spot_goods_factor.py:259(__init__)
        1    0.001    0.001    1.611    1.611 base_factor.py:103(__init__)
        1    0.003    0.003    1.598    1.598 dao.py:33(get_invalid_list)
    11934    0.025    0.000    1.586    0.000 frame.py:3756(__getitem__)
        1    0.000    0.000    1.552    1.552 session.py:1563(execute)
        7    0.000    0.000    1.545    0.221 cursors.py:129(execute)
        7    0.000    0.000    1.545    0.221 cursors.py:306(_query)
        7    0.000    0.000    1.545    0.221 connections.py:542(query)
        4    0.000    0.000    1.545    0.386 base.py:1768(_execute_context)
        7    0.000    0.000    1.544    0.221 connections.py:763(_read_query_result)
        7    0.000    0.000    1.544    0.221 connections.py:1154(read)
        4    0.000    0.000    1.544    0.386 default.py:735(do_execute)
