ÈÕÆÚ,¹ÉÆ±
20170103,"	000547"
20170103,"	000725"
20170103,"	002277"
20170103,"	300136"
20170103,"	603377"
20170104,"	000547"
20170104,"	000959"
20170104,"	002168"
20170104,"	002269"
20170104,"	002277"
20170104,"	002407"
20170104,"	600183"
20170104,"	600187"
20170104,"	600416"
20170104,"	600489"
20170104,"	600503"
20170105,"	002408"
20170105,"	600125"
20170105,"	601333"
20170106,"	000897"
20170106,"	002408"
20170106,"	002640"
20170106,"	600282"
20170106,"	600435"
20170109,"	000519"
20170109,"	000723"
20170109,"	000825"
20170109,"	000897"
20170109,"	002572"
20170109,"	002602"
20170109,"	600184"
20170109,"	600435"
20170109,"	601678"
20170110,"	000501"
20170110,"	000825"
20170110,"	002251"
20170110,"	002602"
20170110,"	300266"
20170110,"	600029"
20170110,"	600086"
20170110,"	600300"
20170110,"	600425"
20170110,"	600497"
20170111,"	000825"
20170111,"	002572"
20170111,"	002602"
20170111,"	600050"
20170111,"	600751"
20170111,"	601618"
20170111,"	603993"
20170112,"	002440"
20170112,"	300266"
20170113,"	000002"
20170113,"	000806"
20170113,"	600537"
20170116,"	000006"
20170116,"	000008"
20170116,"	000009"
20170116,"	000012"
20170116,"	000028"
20170116,"	000031"
20170116,"	000061"
20170116,"	000066"
20170116,"	000078"
20170116,"	000503"
20170116,"	000517"
20170116,"	000519"
20170116,"	000541"
20170116,"	000547"
20170116,"	000555"
20170116,"	000566"
20170116,"	000592"
20170116,"	000631"
20170116,"	000636"
20170116,"	000652"
20170116,"	000669"
20170116,"	000680"
20170116,"	000681"
20170116,"	000703"
20170116,"	000718"
20170116,"	000723"
20170116,"	000728"
20170116,"	000777"
20170116,"	000806"
20170116,"	000816"
20170116,"	000825"
20170116,"	000839"
20170116,"	000877"
20170116,"	000897"
20170116,"	000917"
20170116,"	000969"
20170116,"	000970"
20170116,"	000973"
20170116,"	000997"
20170116,"	002005"
20170116,"	002018"
20170116,"	002019"
20170116,"	002027"
20170116,"	002041"
20170116,"	002063"
20170116,"	002064"
20170116,"	002093"
20170116,"	002106"
20170116,"	002118"
20170116,"	002122"
20170116,"	002131"
20170116,"	002153"
20170116,"	002161"
20170116,"	002174"
20170116,"	002176"
20170116,"	002183"
20170116,"	002194"
20170116,"	002217"
20170116,"	002249"
20170116,"	002251"
20170116,"	002266"
20170116,"	002273"
20170116,"	002277"
20170116,"	002325"
20170116,"	002340"
20170116,"	002354"
20170116,"	002358"
20170116,"	002371"
20170116,"	002373"
20170116,"	002392"
20170116,"	002405"
20170116,"	002408"
20170116,"	002416"
20170116,"	002424"
20170116,"	002431"
20170116,"	002444"
20170116,"	002460"
20170116,"	002463"
20170116,"	002482"
20170116,"	002500"
20170116,"	002503"
20170116,"	002512"
20170116,"	002544"
20170116,"	002551"
20170116,"	002568"
20170116,"	002581"
20170116,"	002588"
20170116,"	002642"
20170116,"	002646"
20170116,"	002657"
20170116,"	002673"
20170116,"	002698"
20170116,"	002699"
20170116,"	002707"
20170116,"	002797"
20170116,"	300001"
20170116,"	300010"
20170116,"	300017"
20170116,"	300026"
20170116,"	300032"
20170116,"	300059"
20170116,"	300085"
20170116,"	300113"
20170116,"	300122"
20170116,"	300134"
20170116,"	300144"
20170116,"	300156"
20170116,"	300159"
20170116,"	300166"
20170116,"	300168"
20170116,"	300182"
20170116,"	300202"
20170116,"	300253"
20170116,"	300266"
20170116,"	300291"
20170116,"	300297"
20170116,"	300315"
20170116,"	300324"
20170116,"	600073"
20170116,"	600086"
20170116,"	600088"
20170116,"	600108"
20170116,"	600122"
20170116,"	600141"
20170116,"	600175"
20170116,"	600183"
20170116,"	600187"
20170116,"	600198"
20170116,"	600200"
20170116,"	600220"
20170116,"	600259"
20170116,"	600280"
20170116,"	600300"
20170116,"	600338"
20170116,"	600392"
20170116,"	600410"
20170116,"	600416"
20170116,"	600425"
20170116,"	600433"
20170116,"	600460"
20170116,"	600466"
20170116,"	600478"
