20170220,"	600481"
20170309,"	600271"
20170330,"	600158"
20170413,"	002698"
20170418,"	300291"
20170518,"	600614"
20170714,"	000002"
20170807,"	000652"
20170807,"	002797"
20170828,"	000758"
20170925,"	002727"
20171013,"	600729"
20171016,"	600161"
20180105,"	600466"
20180108,"	000732"
20180131,"	600643"
20180202,"	002212"
20180205,"	002450"
20180209,"	002470"
20180319,"	002018"
20180328,"	000860"
20180404,"	002051"
20180515,"	002122"
20180528,"	002122"
20180529,"	002122"
20180612,"	300134"
20180625,"	600682"
20180625,"	600779"
20180704,"	300266"
20180705,"	300266"
20180824,"	000612"
20180824,"	300026"
20180828,"	000979"
20180831,"	002831"
20181029,"	600376"
20181116,"	000979"
20181206,"	002147"
20181224,"	601179"
20190129,"	000858"
20190305,"	600094"
20190312,"	603444"
20190412,"	600687"
20190429,"	600614"
20190506,"	002359"
20190513,"	002359"
20190522,"	600687"
20190524,"	002359"
20190618,"	600098"
20190726,"	603983"
20190729,"	002957"
20190730,"	002957"
20190731,"	002957"
20191118,"	002212"
20191125,"	000967"
20200203,"	000596"
20200708,"	000001"
20200708,"	000002"
20200708,"	000008"
20200708,"	000009"
20200708,"	000012"
20200708,"	000021"
20200708,"	000025"
20200708,"	000027"
20200708,"	000028"
20200708,"	000031"
20200708,"	000039"
20200708,"	000046"
20200708,"	000050"
20200708,"	000060"
20200708,"	000061"
20200708,"	000062"
20200708,"	000063"
20200708,"	000066"
20200708,"	000069"
20200708,"	000078"
20200708,"	000089"
20200708,"	000090"
20200708,"	000100"
20200708,"	000156"
20200708,"	000157"
20200708,"	000158"
20200708,"	000166"
20200708,"	000301"
20200708,"	000333"
20200708,"	000338"
20200708,"	000400"
20200708,"	000401"
20200708,"	000402"
20200708,"	000415"
20200708,"	000425"
20200708,"	000488"
20200708,"	000501"
20200708,"	000513"
20200708,"	000519"
20200708,"	000528"
20200708,"	000537"
20200708,"	000538"
20200708,"	000543"
20200708,"	000547"
20200708,"	000553"
20200708,"	000559"
20200708,"	000563"
20200708,"	000564"
20200708,"	000568"
20200708,"	000581"
20200708,"	000596"
20200708,"	000598"
20200708,"	000600"
20200708,"	000623"
20200708,"	000625"
20200708,"	000627"
20200708,"	000629"
20200708,"	000630"
20200708,"	000636"
20200708,"	000651"
20200708,"	000656"
20200708,"	000661"
20200708,"	000671"
20200708,"	000681"
20200708,"	000685"
20200708,"	000686"
20200708,"	000690"
20200708,"	000703"
20200708,"	000708"
20200708,"	000709"
20200708,"	000712"
20200708,"	000717"
20200708,"	000718"
20200708,"	000723"
20200708,"	000725"
20200708,"	000728"
20200708,"	000729"
20200708,"	000732"
20200708,"	000738"
20200708,"	000739"
20200708,"	000750"
20200708,"	000758"
20200708,"	000768"
20200708,"	000776"
20200708,"	000778"
20200708,"	000783"
20200708,"	000785"
20200708,"	000786"
20200708,"	000800"
20200708,"	000807"
20200708,"	000813"
20200708,"	000825"
20200708,"	000826"
20200708,"	000830"
20200708,"	000848"
20200708,"	000858"
20200708,"	000860"
20200708,"	000869"
20200708,"	000876"
20200708,"	000877"
20200708,"	000878"
20200708,"	000883"
20200708,"	000887"
20200708,"	000895"
20200708,"	000898"
20200708,"	000930"
20200708,"	000932"
20200708,"	000937"
20200708,"	000938"
20200708,"	000959"
20200708,"	000960"
20200708,"	000961"
20200708,"	000963"
20200708,"	000967"
20200708,"	000970"
20200708,"	000975"
20200708,"	000977"
20200708,"	000983"
20200708,"	000987"
20200708,"	000988"
20200708,"	000990"
20200708,"	000997"
20200708,"	000998"
20200708,"	000999"
20200708,"	001872"
20200708,"	001914"
20200708,"	001979"
20200708,"	002001"
20200708,"	002002"
20200708,"	002004"
20200708,"	002007"
20200708,"	002008"
20200708,"	002010"
20200708,"	002013"
20200708,"	002019"
20200708,"	002024"
20200708,"	002027"
20200708,"	002028"
20200708,"	002030"
20200708,"	002032"
20200708,"	002038"
20200708,"	002044"
20200708,"	002048"
20200708,"	002049"
20200708,"	002050"
20200708,"	002051"
20200708,"	002056"
20200708,"	002064"
20200708,"	002074"
20200708,"	002075"
20200708,"	002078"
20200708,"	002080"
20200708,"	002081"
20200708,"	002085"
20200708,"	002092"
20200708,"	002093"
20200708,"	002110"
20200708,"	002118"
20200708,"	002120"
20200708,"	002124"
20200708,"	002127"
20200708,"	002128"
20200708,"	002129"
20200708,"	002131"
20200708,"	002138"
20200708,"	002142"
20200708,"	002146"
20200708,"	002152"
20200708,"	002153"
20200708,"	002155"
20200708,"	002156"
20200708,"	002157"
20200708,"	002174"
20200708,"	002179"
20200708,"	002183"
20200708,"	002185"
20200708,"	002191"
20200708,"	002195"
20200708,"	002202"
20200708,"	002203"
20200708,"	002212"
20200708,"	002217"
20200708,"	002221"
20200708,"	002223"
20200708,"	002230"
20200708,"	002233"
20200708,"	002236"
20200708,"	002241"
20200708,"	002242"
20200708,"	002244"
20200708,"	002249"
20200708,"	002250"
20200708,"	002252"
20200708,"	002266"
20200708,"	002268"
20200708,"	002271"
20200708,"	002273"
20200708,"	002281"
20200708,"	002285"
20200708,"	002294"
20200708,"	002302"
20200708,"	002304"
20200708,"	002311"
20200708,"	002317"
20200708,"	002340"
20200708,"	002352"
20200708,"	002353"
20200708,"	002368"
20200708,"	002371"
20200708,"	002372"
20200708,"	002373"
20200708,"	002375"
20200708,"	002382"
20200708,"	002384"
20200708,"	002385"
20200708,"	002387"
20200708,"	002390"
20200708,"	002396"
20200708,"	002399"
20200708,"	002407"
20200708,"	002408"
20200708,"	002410"
20200708,"	002414"
20200708,"	002415"
20200708,"	002416"
20200708,"	002419"
20200708,"	002422"
20200708,"	002423"
20200708,"	002424"
20200708,"	002429"
20200708,"	002434"
20200708,"	002439"
20200708,"	002440"
20200708,"	002444"
20200708,"	002456"
20200708,"	002458"
20200708,"	002460"
20200708,"	002463"
20200708,"	002465"
20200708,"	002466"
20200708,"	002468"
20200708,"	002470"
20200708,"	002475"
20200708,"	002491"
20200708,"	002493"
20200708,"	002500"
20200708,"	002503"
20200708,"	002505"
20200708,"	002506"
20200708,"	002507"
20200708,"	002508"
20200708,"	002511"
20200708,"	002544"
20200708,"	002555"
